track_name,artist_names,spotify_streams,isrc,all_time_rank,track_score
million dollar baby,tommy richman,390470936,QM24S2402528,1,725.4
not like us,kendrick lamar,323703884,USUG12400910,2,545.9
i like the way you kiss me,artemas,601309283,QZJ842400387,3,538.4
flowers,miley cyrus,2031280633,USSM12209777,4,444.9
houdini,eminem,107034922,USUG12403398,5,423.3
lovin on me,jack harlow,670665438,USAT22311371,6,410.1
beautiful things,benson boone,900158751,USWB12307016,7,407.2
gata only,floyymenor,675079153,QZL382406049,8,375.8
danza kuduro - cover,music lab jpn,1653018119,TCJPA2463708,9,355.7
band4band (feat. lil baby),central cee,90676573,USSM12404354,10,330.6
i had some help (feat. morgan wallen),post malone,250080413,USUM72404990,11,322.1
the door,teddy swims,111155129,USWB12402486,12,320.2
lunch,billie eilish,221636195,USUM72401991,13,316.3
like that,future,355186436,USSM12402041,14,308.2
bathroom floor,kids with buns,297185,NLC242100307,15,301.6
lala,myke towers,925655569,USWL12300002,16,299.9
fortnight (feat. post malone),taylor swift,395433400,USUG12401028,17,297.6
greedy,tate mcrae,1258569694,USRC12301932,18,293.7
blue,billie eilish,91272461,USUM72401996,19,292.6
as it was,harry styles,3301814535,USSM12200612,20,292.0
paint the town red,doja cat,1065399331,USRC12300907,21,290.5
espresso,sabrina carpenter,547882871,USUM72403305,22,281.5
texas hold 'em,beyoncï¿,426700979,USSM12401302,24,278.9
beat automotivo tan tan tan viral,wz beat,7382759,BXWEH2200054,26,268.1
stay (with justin bieber),the kid laroi,3107100349,USSM12103949,27,266.3
baby shark,pinkfong,720822868,KRE671700001,28,265.7
we can't be friends (wait for your love),ariana grande,591068364,USUM72317276,29,262.8
numb / encore,jay-z,1003215671,USWB12400678,30,256.0
danza kuduro - cover,love bgm jpn,1645079292,TCJPA2406007,31,249.8
sheesh,babymonster,124893397,KRA402400016,32,237.5
water,tyla,670376179,USSM12305126,33,234.6
strangers,kenya grace,750154960,USWB12305048,34,233.5
too sweet,hozier,532012790,USSM12401865,35,231.6
what's love got to do with it - 2023 remaster,tina turner,479417905,GBAYE2300351,36,230.0
a bar song (tipsy),shaboozey,311928522,USUYG1541249,37,226.4
lose control,teddy swims,775135157,USWB12302315,38,224.1
fukumean,gunna,759998727,USAT22306575,39,221.1
dance monkey,tones and i,3071214106,QZES71982312,40,214.5
birds of a feather,billie eilish,214237645,USUM72401994,41,212.8
cupid ï¿½ï¿½ï¿½ twin ver. (fifty fifty) ï¿½ï¿½ï¿½ spe,sped up 8282,170970614,KRA252300672,42,211.2
i'm good (blue),david guetta,1658229422,UKWLG2200055,43,209.6
daylight,david kushner,1126820069,QZXDB2300005,44,207.0
my love mine all mine,mitski,997702304,USJ5G2335007,45,206.2
please please please,sabrina carpenter,59314441,USUM72404101,46,205.7
houdini,dua lipa,493627071,GBAHT2301246,47,205.1
if we ever broke up,mae stephens,304929492,GBUM72300969,49,203.6
despacito,luis fonsi,1747093405,USUM71607007,50,203.5
euphoria,kendrick lamar,168434320,USUG12402839,51,202.1
panda basi,mvua,104271,GX3Q92333626,52,200.3
calm down (with selena gomez),rema,1391688322,NGA3B2214021,53,198.0
shape of you,ed sheeran,3909458734,GBAHS1600463,54,195.1
mitu,maian,55346,EEUM72300001,55,194.3
blinding lights,the weeknd,4281468720,USUG11904206,56,194.0
creepin' (with the weeknd & 21 savage),metro boomin,1337619917,USUG12208791,57,192.3
unholy (feat. kim petras),sam smith,1556275789,GBUM72205415,60,189.1
very cute melody by marimba tone (39813),mitsu sound,1384,RUA1H2406425,62,186.5
supernova,aespa,69729033,KRA302400090,63,186.1
me porto bonito,bad bunny,1811990630,QM6MZ2214877,64,184.8
back that azz up (feat. lil wayne & mannie fresh),juvenile,199929812,USCM52400059,65,181.4
calm down,rema,584427088,NGA3B2214004,66,180.1
carnival,ýý$,466887055,QZ7XS2400012,67,179.6
kill bill,sza,1873746537,USRC12204584,68,177.7
"what was i made for? [from the motion picture ""barbie""]",billie eilish,891720245,USUM72307484,69,177.6
babba,guy mac,46567,QZA742305720,70,176.2
heat waves,glass animals,2996181078,GBUM72000433,71,175.0
in the end,linkin park,2045512421,USWB11201322,72,174.8
"shakira: bzrp music sessions, vol. 53",bizarrap,946941510,UYB282301031,73,174.3
the way we move - extended mix,powerdress,7909,UKACT2330463,74,173.6
old town road,lil nas x,1010494713,USSM11901941,75,170.3
un x100to,grupo frontera,1008495696,QM6N22311285,76,170.2
sprinter,dave,692512930,GBUM72305159,78,168.1
chihiro,billie eilish,169410711,USUM72401988,79,167.8
tqg,karol g,1024381758,USUM72222541,80,167.8
perfect,ed sheeran,2969999682,GBAHS1700024,81,167.5
pepas,farruko,1500499584,USSD12100307,82,167.3
peekaboo,dave angel,8082,GBLTF2300027,83,167.2
ella baila sola,eslabon armado,1215336974,USE7D2300007,84,166.5
dance the night - from barbie the album,dua lipa,860026452,USAT22305457,85,166.2
la bebe - remix,yng lvcas,1032225805,MXF152300159,86,164.9
redrum,21 savage,428233003,USSM12309164,87,164.8
easy on me,adele,1720918065,USSM12105970,88,163.2
titï¿½ï¿½ me pregu,bad bunny,1514239759,QM6MZ2214878,89,163.1
all my life (feat. j. cole),lil durk,333202114,USQX92302957,90,162.0
anti-hero,taylor swift,1563224246,USUG12205736,91,161.8
"quevedo: bzrp music sessions, vol. 52",bizarrap,1692951462,UYB282201028,92,161.7
magnetic,illit,255076355,USA2P2413259,93,161.0
lollipop,darell,275349653,USSD12300307,94,158.2
la diabla,xavi,649404552,USA2P2357356,95,155.9
boy's a liar pt. 2,pinkpantheress,851085705,GBAYE2300015,96,153.6
snooze,sza,1013350808,USRC12204591,97,153.3
bellakeo,peso pluma,359803580,QMFMF2388143,98,153.1
agora hills,doja cat,509653100,USRC12301954,99,152.8
prada,cassï¿,609699748,GBCEN2300147,100,152.5
montagem rave eterno,dj samir,5157486,GXD7G2413058,101,152.3
lil boo thang,paul russell,242070373,USAR12300323,102,152.1
monaco,bad bunny,478150858,QMFME2364182,103,150.7
laxed (siren beat),jawsh 685,61382407,USSM12002399,104,150.5
(it goes like) nanana - edit,peggy gou,460156070,GBBKS2300080,105,150.4
training season,dua lipa,251153869,GBAHT2301078,106,148.9
type shit,future,205206688,USSM12402033,107,148.1
armageddon,aespa,32942304,KRA302400093,108,147.4
the box,roddy ricch,1911559785,USAT21906978,109,146.6
industry baby (feat. jack harlow),lil nas x,2014959725,USSM12104539,110,145.3
pedro,jaxomy,168145583,DEE862400427,111,144.6
fast car,luke combs,518988585,US6XF2200436,112,144.5
bling-bang-bang-born,creepy nuts,247399972,JPU902305042,113,144.0
aesthetic,tollan kim,5712985,SGB502208576,114,144.0
sunflower - spider-man: into the spider-verse,post malone,3358704125,USUM71814888,116,143.9
hands,dianï¿½,126914,GBKPL2205333,115,143.9
saturn,sza,343090427,USRC12400216,117,142.8
believer,imagine dragons,3006226762,USUM71700626,119,142.2
wait for u (feat. drake & tems),future,787155930,USSM12203789,120,141.0
i know ?,travis scott,532605345,USSM12305012,121,139.5
ando,jere klein,292789738,QMDA72363047,122,139.0
first class,jack harlow,818858244,USAT22203024,123,138.6
fe!n,travis scott,659010786,USSM12305010,124,137.8
save your tears - live,the weeknd,3913988,USUG12301493,125,137.7
losing interest - original mix,goovex,126247886,CA5KR2465999,126,136.4
i ain't worried,onerepublic,1607421145,USUM72206227,127,136.2
mi ex tenï¿½ï¿½a ra,karol g,438796949,USUG12305253,128,136.2
drained of color,exhumed,158627,US2642250302,129,134.0
mood (feat. iann dior),24kgoldn,1867736006,USQX92003025,130,133.0
dynamite,bts,1872577908,QM7282022872,131,132.3
looking like a wow end of year 2023,wasteland,8327,GXBAV2381801,132,130.7
someone you loved,lewis capaldi,3427498835,DEUM71807062,133,129.7
acrï¿½ï¿½s,shakira,230849195,USQX92302824,134,129.6
made you look,meghan trainor,720720922,USSM12204574,135,129.5
phonk brasileiro fresco (slowed + reverb),dj moigus,1378494,QZMEQ2306756,136,129.4
"sooseki (from ""pushpa 2 the rule"") [telugu]",shreya ghoshal,2827545,INS182401602,137,129.1
vampire,olivia rodrigo,998964097,USUG12304091,138,128.9
casca de bala,thullio milionï¿½ï¿,37157630,BCAEW2400001,139,128.5
back,lola,48428,UKQNV2100272,140,128.0
people,libianca,631955547,QZTB52268087,141,127.8
lady killers ii (christoph andersson remix),g-eazy,94635338,TCAIA2495220,143,127.3
i don't wanna wait,david guetta,114574238,UKWLG2400013,144,126.9
abc,j ross,31867,CLLU22300585,145,126.6
la bachata,manuel turizo,1721045197,QZDYA1800087,146,126.2
ýýýýýýýýýýýýýýýýýýýýý,fli:p,8028757,FRX282306294,147,125.4
peaches (feat. daniel caesar & giveon),justin bieber,1612286123,USUM72102636,148,125.2
don't start now,dua lipa,2607121959,GBAHT1901121,149,124.6
lucid dreams,juice wrld,2548389305,USUG11800685,150,123.9
provenza,karol g,1185929926,USUM72205906,151,123.8
wap (feat. megan thee stallion),cardi b,1325725696,USAT22005111,152,123.4
spot!,zico,77757035,USA2P2421932,153,122.8
family matters,drake,72335127,USUG12402984,154,122.7
again,kurochuu,136237285,CA5KR2466577,155,122.5
seven (feat. latto) (explicit ver.),jung kook,1673557134,USA2P2330093,156,122.4
last night,morgan wallen,922010059,USUG12300802,157,121.9
bad habits,ed sheeran,1754311538,GBAHS2100318,159,120.8
qlona,karol g,850810162,USUG12305257,160,120.7
leave the door open,bruno mars,1312168384,USAT22100906,161,120.1
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),548408,JPKI02118106,162,119.5
good 4 u,olivia rodrigo,2167768056,USUG12101245,163,117.8
bad guy,billie eilish,2516804300,USUM71900764,164,117.7
seï¿½ï¿½o,shawn mendes,2738293818,USUM71911283,165,117.6
despechï¿,rosalï¿½,1003487432,USSM12207207,166,116.9
rockstar (feat. roddy ricch),dababy,1638836101,USUM72007941,167,116.7
eyes closed,ed sheeran,372423476,GBAHS2201304,168,116.6
i remember everything (feat. kacey musgraves),zach bryan,630373315,USWB12304903,169,116.5
circles,post malone,2481391466,USUM71915699,170,116.0
el amor de su vida,grupo frontera,474590289,DGA062382895,171,115.9
about damn time,lizzo,847025688,USAT22202139,172,115.6
closer,the chainsmokers,2880536961,USQX91601347,173,114.6
flower,jisoo,440364356,KRA402300002,174,114.3
perro negro,bad bunny,689181455,QMFME2364199,175,114.2
rich baby daddy (feat. sexyy red & sza),drake,372248119,USUG12306085,176,113.2
havana (feat. young thug),camila cabello,2072182782,USSM11706905,177,112.8
luna,feid,606124553,USUM72318216,178,112.6
i like you (a happier song) (with doja cat),post malone,827950825,USUM72208023,179,112.5
bones,imagine dragons,1227475431,USUM72201759,180,112.0
segï¿½ï¿½n qu,maluma,571366508,USSD12300400,182,111.8
selfish,justin timberlake,92932220,USRC12400001,181,111.8
golden hour,jvke,1126986320,GBKPL2204171,183,111.4
levitating (feat. dababy),dua lipa,2074721986,GBAHT2000942,184,111.3
get it sexyy,sexyy red,89362910,QZSYP2454435,185,111.1
